latitude,longitude,state,county,tract
18.00,-67.90,72,097,990000
18.00,-67.20,72,023,830604
18.00,-67.10,72,079,850400
18.00,-67.00,72,079,850101
18.00,-66.90,72,055,960900
18.00,-66.80,72,059,740400
18.00,-66.70,72,111,730800
18.00,-66.60,72,113,072000
18.00,-66.50,72,075,710902
18.00,-66.40,72,133,953500
18.00,-66.30,72,123,952700
18.00,-66.20,72,057,270202
18.00,-66.10,72,057,270300
18.10,-67.90,72,097,081512
18.10,-67.80,72,097,990000
18.10,-67.20,72,023,990000
18.10,-67.10,72,125,840600
18.10,-67.00,72,125,840300
18.10,-66.90,72,153,750201
18.10,-66.80,72,059,740101
18.10,-66.70,72,111,730100
18.10,-66.60,72,113,072600
18.10,-66.50,72,149,720300
18.10,-66.40,72,043,954000
18.10,-66.30,72,043,954500
18.10,-66.20,72,035,260400
18.10,-66.10,72,057,270100
18.20,-67.20,72,097,990000
18.20,-67.10,72,097,081800
18.20,-67.00,72,083,959900
18.20,-66.90,72,081,958400
18.20,-66.80,72,001,956400
18.20,-66.70,72,001,956800
18.20,-66.60,72,073,956200
18.20,-66.50,72,107,954901
18.20,-66.40,72,107,955002
18.20,-66.30,72,019,952201
18.20,-66.20,72,045,952100
18.20,-66.10,72,025,202404
18.30,-67.20,72,011,810700
18.30,-67.10,72,011,810100
18.30,-67.00,72,131,958800
18.30,-66.90,72,081,957900
18.30,-66.80,72,141,957100
18.30,-66.70,72,141,957000
18.30,-66.60,72,141,956900
18.30,-66.50,72,039,955900
18.30,-66.40,72,101,955402
18.30,-66.30,72,047,530400
18.30,-66.20,72,021,032200
18.30,-66.10,72,061,041100
18.40,-67.50,72,097,990000
18.40,-67.30,72,117,990400
18.40,-67.20,72,003,990000
18.40,-67.10,72,099,420302
18.40,-67.00,72,071,410600
18.40,-66.90,72,115,330400
18.40,-66.80,72,065,310500
18.40,-66.70,72,013,301900
18.40,-66.60,72,013,302201
18.40,-66.50,72,091,570700
18.40,-66.40,72,145,560900
18.40,-66.30,72,051,540700
18.40,-66.20,72,137,121900
18.40,-66.10,72,127,007900
18.50,-67.20,72,005,990000
18.50,-67.10,72,005,400100
18.50,-67.00,72,071,410100
18.50,-66.90,72,027,990000
18.50,-66.80,72,065,990016
18.50,-66.70,72,013,992900
18.50,-66.60,72,013,992900
18.50,-66.50,72,091,990025
18.50,-66.40,72,145,990000
18.50,-66.30,72,051,990021
18.50,-66.20,72,051,990021
18.50,-66.10,72,127,990000
18.90,-155.70,15,001,990100
19.00,-155.90,15,001,990100
19.00,-155.80,15,001,021202
19.00,-155.70,15,001,021202
19.00,-155.60,15,001,021202
19.10,-155.90,15,001,021300
19.10,-155.80,15,001,021202
19.10,-155.70,15,001,021202
19.10,-155.60,15,001,021202
19.10,-155.50,15,001,990100
19.20,-155.90,15,001,021300
19.20,-155.80,15,001,021300
19.20,-155.70,15,001,021202
19.20,-155.60,15,001,021202
19.20,-155.50,15,001,021202
19.20,-155.40,15,001,021202
19.20,-155.30,15,001,990100
19.30,-155.90,15,001,021300
19.30,-155.80,15,001,021300
19.30,-155.70,15,001,021202
19.30,-155.60,15,001,021202
19.30,-155.50,15,001,021202
19.30,-155.40,15,001,021202
19.30,-155.30,15,001,021202
19.30,-155.20,15,001,021202
19.30,-155.10,15,001,021106
19.30,-155.00,15,001,990300
19.40,-155.90,15,001,021300
19.40,-155.80,15,001,021300
19.40,-155.70,15,001,021300
19.40,-155.60,15,001,021202
19.40,-155.50,15,001,021202
19.40,-155.40,15,001,021202
19.40,-155.30,15,001,021202
19.40,-155.20,15,001,021106
19.40,-155.10,15,001,021106
19.40,-155.00,15,001,021106
19.40,-154.90,15,001,990300
19.50,-156.00,15,001,991700
19.50,-155.90,15,001,021300
19.50,-155.80,15,001,021300
19.50,-155.70,15,001,021502
19.50,-155.60,15,001,021202
19.50,-155.50,15,001,021202
19.50,-155.40,15,001,021202
19.50,-155.30,15,001,021011
19.50,-155.20,15,001,021011
19.50,-155.10,15,001,021010
19.50,-155.00,15,001,021106
19.50,-154.90,15,001,021106
19.50,-154.80,15,001,990300
19.60,-156.00,15,001,991500
19.60,-155.90,15,001,021502
19.60,-155.80,15,001,021502
19.60,-155.70,15,001,021502
19.60,-155.60,15,001,022000
19.60,-155.50,15,001,022102
19.60,-155.40,15,001,022102
19.60,-155.30,15,001,020202
19.60,-155.20,15,001,020202
19.60,-155.10,15,001,021013
19.60,-155.00,15,001,021013
19.60,-154.90,15,001,990400
19.70,-156.10,15,001,991400
19.70,-156.00,15,001,021507
19.70,-155.90,15,001,021502
19.70,-155.80,15,001,021502
19.70,-155.70,15,001,021702
19.70,-155.60,15,001,022000
19.70,-155.50,15,001,022000
19.70,-155.40,15,001,022102
19.70,-155.30,15,001,020202
19.70,-155.20,15,001,020202
19.70,-155.10,15,001,020802
19.70,-155.00,15,001,021013
19.80,-156.10,15,001,991400
19.80,-156.00,15,001,021507
19.80,-155.90,15,001,021507
19.80,-155.80,15,001,021502
19.80,-155.70,15,001,021702
19.80,-155.60,15,001,022000
19.80,-155.50,15,001,022000
19.80,-155.40,15,001,022102
19.80,-155.30,15,001,020100
19.80,-155.20,15,001,020100
19.80,-155.10,15,001,020100
19.90,-155.90,15,001,021704
19.90,-155.80,15,001,021704
19.90,-155.70,15,001,021702
19.90,-155.60,15,001,022000
19.90,-155.50,15,001,022000
19.90,-155.40,15,001,022000
19.90,-155.30,15,001,022102
19.90,-155.20,15,001,022102
19.90,-155.10,15,001,990800
20.00,-155.90,15,001,991300
20.00,-155.80,15,001,021704
20.00,-155.70,15,001,021702
20.00,-155.60,15,001,021702
20.00,-155.50,15,001,021902
20.00,-155.40,15,001,022000
20.00,-155.30,15,001,022000
20.00,-155.20,15,001,990900
20.10,-155.90,15,001,991200
20.10,-155.80,15,001,021800
20.10,-155.70,15,001,021702
20.10,-155.60,15,001,021902
20.10,-155.50,15,001,021902
20.10,-155.40,15,001,991000
20.20,-155.90,15,001,021800
20.20,-155.80,15,001,021800
20.20,-155.70,15,001,021800
20.30,-155.90,15,001,991200
20.30,-155.80,15,001,991200
20.50,-156.70,15,009,990200
20.50,-156.60,15,009,990200
20.50,-156.50,15,009,990200
20.60,-156.70,15,009,990200
20.60,-156.60,15,009,990200
20.60,-156.50,15,009,990200
20.60,-156.40,15,009,030301
20.60,-156.30,15,009,030100
20.60,-156.20,15,009,990200
20.60,-156.10,15,009,990200
20.70,-157.00,15,009,991200
20.70,-156.90,15,009,991200
20.70,-156.50,15,009,990200
20.70,-156.40,15,009,030303
20.70,-156.30,15,009,030301
20.70,-156.20,15,009,030301
20.70,-156.10,15,009,030100
20.70,-156.00,15,009,030100
20.80,-157.00,15,009,991200
20.80,-156.90,15,009,031601
20.80,-156.80,15,009,991200
20.80,-156.60,15,009,032000
20.80,-156.50,15,009,032000
20.80,-156.40,15,009,030301
20.80,-156.30,15,009,030402
20.80,-156.20,15,009,030100
20.80,-156.10,15,009,030100
20.80,-156.00,15,009,990200
20.90,-157.10,15,009,991200
20.90,-157.00,15,009,031601
20.90,-156.90,15,009,031601
20.90,-156.80,15,009,991200
20.90,-156.70,15,009,990200
20.90,-156.60,15,009,031402
20.90,-156.50,15,009,030903
20.90,-156.40,15,009,031900
20.90,-156.30,15,009,030202
20.90,-156.20,15,009,030201
20.90,-156.10,15,009,990200
21.00,-156.90,15,009,990000
21.00,-156.70,15,009,990200
21.00,-156.60,15,009,031502
21.00,-156.50,15,009,990200
21.00,-156.30,15,009,990200
21.10,-157.30,15,009,031801
21.10,-157.20,15,009,031801
21.10,-157.10,15,009,031801
21.10,-157.00,15,009,031700
21.10,-156.90,15,009,031700
21.10,-156.80,15,009,031700
21.10,-156.70,15,009,990000
21.20,-157.30,15,009,990000
21.20,-157.20,15,009,031801
21.20,-157.10,15,009,031801
21.20,-157.00,15,005,990000
21.20,-156.90,15,005,990000
21.20,-156.80,15,009,990000
21.20,-156.70,15,009,990000
21.30,-158.10,15,003,980300
21.30,-158.00,15,003,990001
21.30,-157.90,15,003,990001
21.30,-157.80,15,003,002800
21.30,-157.70,15,003,000106
21.30,-157.60,15,003,990001
21.40,-158.20,15,003,990001
21.40,-158.10,15,003,940002
21.40,-158.00,15,003,008922
21.40,-157.90,15,003,007702
21.40,-157.80,15,003,010602
21.40,-157.70,15,003,990001
21.50,-158.30,15,003,990001
21.50,-158.20,15,003,009801
21.50,-158.10,15,003,980600
21.50,-158.00,15,003,980700
21.50,-157.90,15,003,008931
21.50,-157.80,15,003,990001
21.50,-157.70,15,003,990001
21.60,-158.30,15,003,990001
21.60,-158.20,15,003,990001
21.60,-158.10,15,003,010000
21.60,-158.00,15,003,010000
21.60,-157.90,15,003,010201
21.70,-158.00,15,003,010100
21.70,-157.90,15,003,990001
21.80,-160.30,15,007,990200
21.80,-160.20,15,007,041200
21.90,-160.20,15,007,041200
21.90,-160.10,15,007,041200
21.90,-159.70,15,007,990100
21.90,-159.60,15,007,040800
21.90,-159.50,15,007,040604
21.90,-159.40,15,007,040603
22.00,-160.10,15,007,041200
22.00,-159.80,15,007,990100
22.00,-159.70,15,007,040900
22.00,-159.60,15,007,040800
22.00,-159.50,15,007,040400
22.00,-159.40,15,007,040400
22.00,-159.30,15,007,990100
22.10,-159.80,15,007,990100
22.10,-159.70,15,007,040900
22.10,-159.60,15,007,040800
22.10,-159.50,15,007,040104
22.10,-159.40,15,007,940000
22.10,-159.30,15,007,940000
22.20,-159.70,15,007,990100
22.20,-159.60,15,007,040104
22.20,-159.50,15,007,040104
22.20,-159.40,15,007,040103
22.20,-159.30,15,007,990100
23.10,-161.90,15,003,981200
23.60,-166.20,15,003,981200
23.60,-164.70,15,003,981200
23.70,-166.20,15,003,981200
23.80,-166.30,15,003,981200
23.80,-166.20,15,003,981200
23.90,-166.30,15,003,981200
23.90,-166.20,15,003,981200
24.50,-82.00,12,087,990000
24.50,-81.90,12,087,990000
24.50,-81.80,12,087,990000
24.50,-81.70,12,087,990000
24.50,-81.60,12,087,990000
24.60,-82.90,12,087,980100
24.60,-82.20,12,087,990000
24.60,-82.10,12,087,990000
24.60,-82.00,12,087,990000
24.60,-81.90,12,087,972500
24.60,-81.80,12,087,972100
