geoid,name,median,median_annotation,median_moe,median_moe_annotation,male,male_annotation,male_moe,male_moe_annotation,female,female_annotation,female_moe,female_moe_annotation,state,county
30019,"Daniels County, Montana",50.6,,2.0,,50.5,,3.6,,50.7,,1.9,,30,019
72073,"Jayuya Municipio, Puerto Rico",33.1,,0.5,,31.9,,0.9,,34.5,,0.3,,72,073
24023,"Garrett County, Maryland",42.5,,0.5,,41.5,,0.7,,43.7,,0.5,,24,023
30079,"Prairie County, Montana",56.1,,2.2,,56.4,,3.2,,55.9,,2.4,,30,079
39173,"Wood County, Ohio",34.9,,0.2,,33.7,,0.2,,35.9,,0.3,,39,173
08011,"Bent County, Colorado",38.0,,1.8,,37.5,,0.6,,43.9,,2.6,,08,011
13081,"Crisp County, Georgia",37.7,,0.6,,34.8,,0.9,,39.2,,0.9,,13,081
04027,"Yuma County, Arizona",33.8,,0.2,,32.5,,0.3,,35.4,,0.1,,04,027
22019,"Calcasieu Parish, Louisiana",35.9,,0.2,,34.7,,0.2,,37.1,,0.3,,22,019
20157,"Republic County, Kansas",50.6,,0.3,,49.2,,0.6,,51.3,,0.3,,20,157
37011,"Avery County, North Carolina",41.7,,0.6,,39.7,,0.6,,45.2,,0.4,,37,011
54011,"Cabell County, West Virginia",38.6,,0.4,,37.0,,0.4,,40.4,,0.5,,54,011
49015,"Emery County, Utah",32.9,,0.6,,32.3,,0.7,,33.8,,1.0,,49,015
05081,"Little River County, Arkansas",42.1,,1.0,,41.4,,1.5,,42.7,,1.3,,05,081
26049,"Genesee County, Michigan",37.9,,0.2,,36.5,,0.2,,39.2,,0.3,,26,049
18153,"Sullivan County, Indiana",39.1,,0.6,,37.2,,1.2,,41.7,,0.5,,18,153
72077,"Juncos Municipio, Puerto Rico",33.9,,0.3,,32.8,,0.7,,35.1,,0.1,,72,077
20119,"Meade County, Kansas",38.9,,1.1,,37.9,,1.6,,40.0,,1.1,,20,119
31139,"Pierce County, Nebraska",42.0,,0.7,,40.5,,1.0,,43.1,,0.4,,31,139
06047,"Merced County, California",29.5,,0.1,,28.6,,0.2,,30.5,,0.2,,06,047
27025,"Chisago County, Minnesota",37.9,,0.4,,37.0,,0.4,,38.6,,0.4,,27,025
48219,"Hockley County, Texas",33.2,,0.6,,31.7,,0.6,,34.8,,0.4,,48,219
50011,"Franklin County, Vermont",39.3,,0.4,,39.1,,0.4,,39.6,,0.8,,50,011
51036,"Charles City County, Virginia",46.4,,0.5,,45.8,,0.7,,46.8,,0.8,,51,036
21029,"Bullitt County, Kentucky",37.7,,0.3,,37.0,,0.4,,38.5,,0.3,,21,029
13057,"Cherokee County, Georgia",36.1,,0.2,,35.3,,0.2,,36.6,,0.2,,13,057
21171,"Monroe County, Kentucky",41.9,,1.0,,39.7,,1.6,,43.7,,0.9,,21,171
27075,"Lake County, Minnesota",47.9,,0.3,,47.6,,0.4,,48.1,,0.4,,27,075
28023,"Clarke County, Mississippi",40.2,,0.5,,39.2,,0.7,,40.9,,2.0,,28,023
42053,"Forest County, Pennsylvania",42.4,,0.9,,36.2,,0.7,,51.6,,0.6,,42,053
51185,"Tazewell County, Virginia",43.6,,0.5,,41.4,,0.8,,45.0,,0.3,,51,185
47149,"Rutherford County, Tennessee",32.2,,0.2,,31.5,,0.2,,33.1,,0.2,,47,149
48293,"Limestone County, Texas",39.6,,0.4,,36.6,,0.9,,43.0,,1.2,,48,293
05147,"Woodruff County, Arkansas",43.4,,0.7,,41.0,,1.6,,44.6,,0.5,,05,147
48129,"Donley County, Texas",42.9,,2.6,,40.3,,4.0,,45.2,,3.4,,48,129
16017,"Bonner County, Idaho",45.3,,0.2,,44.5,,0.7,,45.7,,0.3,,16,017
