geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,male_total,male_total_annotation,male_total_moe,male_total_moe_annotation,male_under_5,male_under_5_annotation,male_under_5_moe,male_under_5_moe_annotation,male_5_to_9,male_5_to_9_annotation,male_5_to_9_moe,male_5_to_9_moe_annotation,male_10_to_14,male_10_to_14_annotation,male_10_to_14_moe,male_10_to_14_moe_annotation,male_15_to_17,male_15_to_17_annotation,male_15_to_17_moe,male_15_to_17_moe_annotation,male_18_to_19,male_18_to_19_annotation,male_18_to_19_moe,male_18_to_19_moe_annotation,male_20,male_20_annotation,male_20_moe,male_20_moe_annotation,male_21,male_21_annotation,male_21_moe,male_21_moe_annotation,male_22_to_24,male_22_to_24_annotation,male_22_to_24_moe,male_22_to_24_moe_annotation,male_25_to_29,male_25_to_29_annotation,male_25_to_29_moe,male_25_to_29_moe_annotation,male_30_to_34,male_30_to_34_annotation,male_30_to_34_moe,male_30_to_34_moe_annotation,male_35_to_39,male_35_to_39_annotation,male_35_to_39_moe,male_35_to_39_moe_annotation,male_40_to_44,male_40_to_44_annotation,male_40_to_44_moe,male_40_to_44_moe_annotation,male_45_to_49,male_45_to_49_annotation,male_45_to_49_moe,male_45_to_49_moe_annotation,male_50_to_54,male_50_to_54_annotation,male_50_to_54_moe,male_50_to_54_moe_annotation,male_55_to_59,male_55_to_59_annotation,male_55_to_59_moe,male_55_to_59_moe_annotation,male_60_to_61,male_60_to_61_annotation,male_60_to_61_moe,male_60_to_61_moe_annotation,male_62_to_64,male_62_to_64_annotation,male_62_to_64_moe,male_62_to_64_moe_annotation,male_65_to_66,male_65_to_66_annotation,male_65_to_66_moe,male_65_to_66_moe_annotation,male_67_to_69,male_67_to_69_annotation,male_67_to_69_moe,male_67_to_69_moe_annotation,male_70_to_74,male_70_to_74_annotation,male_70_to_74_moe,male_70_to_74_moe_annotation,male_75_to_79,male_75_to_79_annotation,male_75_to_79_moe,male_75_to_79_moe_annotation,male_80_to_84,male_80_to_84_annotation,male_80_to_84_moe,male_80_to_84_moe_annotation,male_85_and_over,male_85_and_over_annotation,male_85_and_over_moe,male_85_and_over_moe_annotation,female_total,female_total_annotation,female_total_moe,female_total_moe_annotation,female_under_5,female_under_5_annotation,female_under_5_moe,female_under_5_moe_annotation,female_5_to_9,female_5_to_9_annotation,female_5_to_9_moe,female_5_to_9_moe_annotation,female_10_to_14,female_10_to_14_annotation,female_10_to_14_moe,female_10_to_14_moe_annotation,female_15_to_17,female_15_to_17_annotation,female_15_to_17_moe,female_15_to_17_moe_annotation,female_18_to_19,female_18_to_19_annotation,female_18_to_19_moe,female_18_to_19_moe_annotation,female_20,female_20_annotation,female_20_moe,female_20_moe_annotation,female_21,female_21_annotation,female_21_moe,female_21_moe_annotation,female_22_to_24,female_22_to_24_annotation,female_22_to_24_moe,female_22_to_24_moe_annotation,female_25_to_29,female_25_to_29_annotation,female_25_to_29_moe,female_25_to_29_moe_annotation,female_30_to_34,female_30_to_34_annotation,female_30_to_34_moe,female_30_to_34_moe_annotation,female_35_to_39,female_35_to_39_annotation,female_35_to_39_moe,female_35_to_39_moe_annotation,female_40_to_44,female_40_to_44_annotation,female_40_to_44_moe,female_40_to_44_moe_annotation,female_45_to_49,female_45_to_49_annotation,female_45_to_49_moe,female_45_to_49_moe_annotation,female_50_to_54,female_50_to_54_annotation,female_50_to_54_moe,female_50_to_54_moe_annotation,female_55_to_59,female_55_to_59_annotation,female_55_to_59_moe,female_55_to_59_moe_annotation,female_60_to_61,female_60_to_61_annotation,female_60_to_61_moe,female_60_to_61_moe_annotation,female_62_to_64,female_62_to_64_annotation,female_62_to_64_moe,female_62_to_64_moe_annotation,female_65_to_66,female_65_to_66_annotation,female_65_to_66_moe,female_65_to_66_moe_annotation,female_67_to_69,female_67_to_69_annotation,female_67_to_69_moe,female_67_to_69_moe_annotation,female_70_to_74,female_70_to_74_annotation,female_70_to_74_moe,female_70_to_74_moe_annotation,female_75_to_79,female_75_to_79_annotation,female_75_to_79_moe,female_75_to_79_moe_annotation,female_80_to_84,female_80_to_84_annotation,female_80_to_84_moe,female_80_to_84_moe_annotation,female_85_and_over,female_85_and_over_annotation,female_85_and_over_moe,female_85_and_over_moe_annotation,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
01,Alabama,4747424.0,,-555555555.0,*****,2302958.0,,951.0,,155165.0,,649.0,,157296.0,,2248.0,,163090.0,,2292.0,,103486.0,,555.0,,72073.0,,747.0,,37578.0,,1456.0,,35148.0,,1361.0,,94486.0,,1632.0,,152253.0,,594.0,,143802.0,,746.0,,149857.0,,2006.0,,156443.0,,1934.0,,168701.0,,618.0,,166078.0,,510.0,,146068.0,,1813.0,,57720.0,,1536.0,,70814.0,,1362.0,,41688.0,,1087.0,,54132.0,,1221.0,,70060.0,,1219.0,,50031.0,,1038.0,,34113.0,,910.0,,22876.0,,952.0,,2444466.0,,951.0,,148496.0,,584.0,,152402.0,,2017.0,,155435.0,,1922.0,,96835.0,,489.0,,69906.0,,659.0,,35151.0,,1291.0,,35717.0,,1434.0,,97082.0,,1615.0,,156714.0,,607.0,,149743.0,,673.0,,157424.0,,2277.0,,161460.0,,2254.0,,177065.0,,551.0,,176977.0,,394.0,,158964.0,,1757.0,,61441.0,,1294.0,,79220.0,,1524.0,,46839.0,,1298.0,,62435.0,,1452.0,,86976.0,,1493.0,,71085.0,,1438.0,,54793.0,,1286.0,,52306.0,,1315.0,,01,303661.0,309698.0,318525.0,200321.0,141979.0,72729.0,70865.0,191568.0,308967.0,293545.0,307281.0,317903.0,345766.0,343055.0,305032.0,119161.0,150034.0,88527.0,116567.0,157036.0,121116.0,88906.0,75182.0,1132205.0,579037.0,553168.0,828544.0,423872.0,404672.0,613359.0,312461.0,300898.0,518846.0,266576.0,252270.0,1079653.0,535340.0,544313.0,970950.0,475001.0,495949.0,917282.0,440680.0,476602.0,647334.0,272900.0,374434.0
02,Alaska,700703.0,,-555555555.0,*****,363548.0,,462.0,,27148.0,,231.0,,25387.0,,706.0,,26510.0,,704.0,,16926.0,,264.0,,11018.0,,322.0,,6514.0,,510.0,,6375.0,,604.0,,17422.0,,681.0,,27626.0,,318.0,,23671.0,,310.0,,23258.0,,759.0,,25659.0,,850.0,,28121.0,,321.0,,28649.0,,328.0,,26605.0,,651.0,,7697.0,,502.0,,9427.0,,482.0,,4935.0,,312.0,,5795.0,,374.0,,6662.0,,384.0,,4135.0,,273.0,,2586.0,,248.0,,1422.0,,238.0,,337155.0,,462.0,,25232.0,,188.0,,24022.0,,692.0,,24957.0,,686.0,,15915.0,,227.0,,9673.0,,259.0,,4780.0,,387.0,,4826.0,,458.0,,15193.0,,569.0,,24987.0,,265.0,,22093.0,,268.0,,22420.0,,671.0,,23538.0,,770.0,,26373.0,,262.0,,27128.0,,287.0,,23058.0,,561.0,,7246.0,,478.0,,8568.0,,462.0,,4397.0,,306.0,,5204.0,,306.0,,6618.0,,394.0,,4497.0,,308.0,,3611.0,,301.0,,2819.0,,272.0,,02,52380.0,49409.0,51467.0,32841.0,20691.0,11294.0,11201.0,32615.0,52613.0,45764.0,45678.0,49197.0,54494.0,55777.0,49663.0,14943.0,17995.0,9332.0,10999.0,13280.0,8632.0,6197.0,4241.0,186097.0,95971.0,90126.0,133717.0,68823.0,64894.0,101789.0,52535.0,49254.0,84308.0,43436.0,40872.0,174178.0,92626.0,81552.0,149369.0,77038.0,72331.0,138378.0,72378.0,66000.0,52681.0,25535.0,27146.0
04,Arizona,6337373.0,,-555555555.0,*****,3152339.0,,575.0,,235967.0,,278.0,,222595.0,,3083.0,,232226.0,,3094.0,,139635.0,,306.0,,95960.0,,448.0,,48352.0,,1670.0,,46587.0,,1793.0,,134814.0,,2159.0,,228738.0,,535.0,,210705.0,,443.0,,211709.0,,2243.0,,207853.0,,2262.0,,210892.0,,293.0,,197875.0,,295.0,,176425.0,,2287.0,,68823.0,,1732.0,,91506.0,,1932.0,,53734.0,,1239.0,,72710.0,,1714.0,,102018.0,,1736.0,,76016.0,,1383.0,,50435.0,,1345.0,,36764.0,,1326.0,,3185034.0,,575.0,,225888.0,,233.0,,221458.0,,2734.0,,214075.0,,2681.0,,131400.0,,308.0,,89097.0,,467.0,,43293.0,,1627.0,,44102.0,,1776.0,,124710.0,,2144.0,,218049.0,,338.0,,201827.0,,306.0,,206062.0,,2755.0,,202768.0,,2734.0,,212780.0,,311.0,,209204.0,,264.0,,192098.0,,1925.0,,76709.0,,1571.0,,101729.0,,1751.0,,60040.0,,1476.0,,83361.0,,1598.0,,109853.0,,1862.0,,88017.0,,1631.0,,66001.0,,1605.0,,62513.0,,1335.0,,04,461855.0,444053.0,446301.0,271035.0,185057.0,91645.0,90689.0,259524.0,446787.0,412532.0,417771.0,410621.0,423672.0,407079.0,368523.0,145532.0,193235.0,113774.0,156071.0,211871.0,164033.0,116436.0,99277.0,1623244.0,830423.0,792821.0,1161389.0,594456.0,566933.0,905908.0,458562.0,447346.0,717336.0,371861.0,345475.0,1486234.0,765156.0,721078.0,1252064.0,630454.0,621610.0,1114369.0,534629.0,579740.0,861462.0,391677.0,469785.0
05,Arkansas,2895928.0,,-555555555.0,*****,1421287.0,,1040.0,,100503.0,,599.0,,100168.0,,1584.0,,100550.0,,1569.0,,61692.0,,477.0,,43548.0,,804.0,,22324.0,,1027.0,,21414.0,,1067.0,,56219.0,,1287.0,,95931.0,,638.0,,90732.0,,632.0,,90112.0,,1713.0,,95300.0,,1855.0,,99735.0,,538.0,,97378.0,,401.0,,88157.0,,1236.0,,33777.0,,1122.0,,44214.0,,1163.0,,25474.0,,741.0,,34338.0,,1017.0,,47409.0,,1013.0,,33822.0,,747.0,,22318.0,,722.0,,16172.0,,591.0,,1474641.0,,1040.0,,95822.0,,653.0,,96055.0,,1469.0,,95190.0,,1422.0,,58231.0,,472.0,,40974.0,,715.0,,22427.0,,1250.0,,20079.0,,992.0,,56040.0,,1496.0,,96784.0,,577.0,,89063.0,,571.0,,92970.0,,1707.0,,93503.0,,1552.0,,103555.0,,493.0,,101294.0,,442.0,,92831.0,,1289.0,,36841.0,,1023.0,,48971.0,,1121.0,,28236.0,,913.0,,38896.0,,1038.0,,54513.0,,1012.0,,43227.0,,906.0,,35064.0,,830.0,,34075.0,,777.0,,05,196325.0,196223.0,195740.0,119923.0,84522.0,44751.0,41493.0,112259.0,192715.0,179795.0,183082.0,188803.0,203290.0,198672.0,180988.0,70618.0,93185.0,53710.0,73234.0,101922.0,77049.0,57382.0,50247.0,708211.0,362913.0,345298.0,511886.0,262410.0,249476.0,392548.0,200671.0,191877.0,315663.0,162242.0,153421.0,655535.0,330168.0,325367.0,575175.0,285147.0,290028.0,543463.0,263526.0,279937.0,413544.0,179533.0,234011.0
06,California,36969200.0,,-555555555.0,*****,18387718.0,,866.0,,1301624.0,,589.0,,1271144.0,,5651.0,,1327420.0,,5657.0,,862762.0,,661.0,,584573.0,,697.0,,307437.0,,3577.0,,293116.0,,3269.0,,829739.0,,4571.0,,1405224.0,,793.0,,1293795.0,,792.0,,1307826.0,,6411.0,,1326550.0,,6401.0,,1338556.0,,600.0,,1242566.0,,596.0,,1041756.0,,5316.0,,376149.0,,3601.0,,470134.0,,4139.0,,264197.0,,2396.0,,324484.0,,2788.0,,434994.0,,3179.0,,337742.0,,2988.0,,245084.0,,2459.0,,200846.0,,2693.0,,18581482.0,,866.0,,1243600.0,,549.0,,1216806.0,,4731.0,,1264774.0,,4783.0,,815388.0,,615.0,,540836.0,,744.0,,280453.0,,3967.0,,269132.0,,4037.0,,762552.0,,5433.0,,1332356.0,,597.0,,1253846.0,,624.0,,1295705.0,,6115.0,,1306968.0,,6079.0,,1340525.0,,641.0,,1274276.0,,592.0,,1106953.0,,4714.0,,402133.0,,3896.0,,514693.0,,4377.0,,294792.0,,3256.0,,372822.0,,3609.0,,521970.0,,3406.0,,426072.0,,2963.0,,364118.0,,2832.0,,380712.0,,2857.0,,06,2545224.0,2487950.0,2592194.0,1678150.0,1125409.0,587890.0,562248.0,1592291.0,2737580.0,2547641.0,2603531.0,2633518.0,2679081.0,2516842.0,2148709.0,778282.0,984827.0,558989.0,697306.0,956964.0,763814.0,609202.0,581558.0,9303518.0,4762950.0,4540568.0,6758294.0,3461326.0,3296968.0,5033174.0,2572768.0,2460406.0,4270344.0,2190182.0,2080162.0,9153059.0,4713884.0,4439175.0,7916130.0,3972932.0,3943198.0,6428660.0,3130605.0,3298055.0,4167833.0,1807347.0,2360486.0
08,Colorado,4966061.0,,-555555555.0,*****,2489370.0,,1106.0,,175322.0,,481.0,,174446.0,,2019.0,,167555.0,,2061.0,,103940.0,,506.0,,72923.0,,699.0,,36603.0,,1319.0,,38044.0,,1391.0,,107325.0,,1785.0,,187653.0,,550.0,,180771.0,,686.0,,181370.0,,2401.0,,178145.0,,2347.0,,184775.0,,554.0,,181042.0,,392.0,,156914.0,,1867.0,,57393.0,,1370.0,,69171.0,,1510.0,,36898.0,,1083.0,,44626.0,,1107.0,,59909.0,,1137.0,,42817.0,,950.0,,28845.0,,863.0,,22883.0,,749.0,,2476691.0,,1106.0,,166684.0,,467.0,,169373.0,,1764.0,,157614.0,,1811.0,,97606.0,,437.0,,66055.0,,630.0,,33562.0,,1446.0,,32044.0,,1371.0,,101540.0,,1897.0,,177428.0,,611.0,,169405.0,,454.0,,171273.0,,2273.0,,172534.0,,2151.0,,186535.0,,397.0,,183785.0,,390.0,,160699.0,,1638.0,,57733.0,,1382.0,,73923.0,,1430.0,,38443.0,,1001.0,,51656.0,,1062.0,,66614.0,,1136.0,,52839.0,,1089.0,,43871.0,,1339.0,,45475.0,,1081.0,,08,342006.0,343819.0,325169.0,201546.0,138978.0,70165.0,70088.0,208865.0,365081.0,350176.0,352643.0,350679.0,371310.0,364827.0,317613.0,115126.0,143094.0,75341.0,96282.0,126523.0,95656.0,72716.0,68358.0,1212540.0,621263.0,591277.0,870534.0,445941.0,424593.0,685825.0,349768.0,336057.0,526715.0,271495.0,255220.0,1203353.0,623319.0,580034.0,1074632.0,544290.0,530342.0,940660.0,464520.0,476140.0,534876.0,235978.0,298898.0
09,Connecticut,3558172.0,,-555555555.0,*****,1731389.0,,389.0,,103960.0,,183.0,,113861.0,,1647.0,,123683.0,,1643.0,,78547.0,,228.0,,51863.0,,324.0,,26310.0,,1057.0,,24944.0,,1175.0,,63609.0,,1237.0,,105638.0,,329.0,,101661.0,,300.0,,111169.0,,1576.0,,131644.0,,1639.0,,141489.0,,329.0,,135826.0,,236.0,,112527.0,,1589.0,,40644.0,,1210.0,,54992.0,,1211.0,,30477.0,,1063.0,,35888.0,,771.0,,47673.0,,993.0,,38974.0,,945.0,,30219.0,,914.0,,25791.0,,828.0,,1826783.0,,389.0,,99208.0,,197.0,,109919.0,,1940.0,,116609.0,,1915.0,,74417.0,,156.0,,48886.0,,331.0,,24843.0,,1034.0,,22933.0,,1163.0,,60658.0,,1448.0,,104036.0,,250.0,,103960.0,,179.0,,119495.0,,1839.0,,135936.0,,1845.0,,149361.0,,254.0,,141750.0,,168.0,,120620.0,,1367.0,,44892.0,,1102.0,,58808.0,,1138.0,,33206.0,,1002.0,,42484.0,,1048.0,,58271.0,,1087.0,,51709.0,,1187.0,,46677.0,,1195.0,,58105.0,,1133.0,,09,203168.0,223780.0,240292.0,152964.0,100749.0,51153.0,47877.0,124267.0,209674.0,205621.0,230664.0,267580.0,290850.0,277576.0,233147.0,85536.0,113800.0,63683.0,78372.0,105944.0,90683.0,76896.0,83896.0,820204.0,420051.0,400153.0,617036.0,316091.0,300945.0,426948.0,217821.0,209127.0,393256.0,202230.0,191026.0,739341.0,374025.0,365316.0,789094.0,384302.0,404792.0,710059.0,343989.0,366070.0,499474.0,209022.0,290452.0
10,Delaware,890856.0,,-555555555.0,*****,432225.0,,195.0,,28488.0,,108.0,,28868.0,,971.0,,28730.0,,991.0,,19112.0,,152.0,,13560.0,,159.0,,6553.0,,620.0,,6908.0,,570.0,,17978.0,,671.0,,28712.0,,131.0,,25891.0,,76.0,,27690.0,,845.0,,29923.0,,848.0,,32601.0,,98.0,,30991.0,,80.0,,26440.0,,721.0,,10512.0,,682.0,,14023.0,,672.0,,7504.0,,429.0,,11134.0,,517.0,,14113.0,,572.0,,10313.0,,478.0,,6802.0,,404.0,,5379.0,,394.0,,458631.0,,195.0,,27511.0,,107.0,,27582.0,,875.0,,27600.0,,877.0,,17564.0,,150.0,,13758.0,,147.0,,7116.0,,635.0,,6967.0,,650.0,,16623.0,,770.0,,29385.0,,103.0,,27038.0,,88.0,,29090.0,,839.0,,31528.0,,858.0,,34655.0,,147.0,,33420.0,,110.0,,29703.0,,731.0,,11754.0,,565.0,,16031.0,,615.0,,9489.0,,449.0,,11725.0,,518.0,,16482.0,,548.0,,13060.0,,570.0,,10116.0,,555.0,,10434.0,,491.0,,10,55999.0,56450.0,56330.0,36676.0,27318.0,13669.0,13875.0,34601.0,58097.0,52929.0,56780.0,61451.0,67256.0,64411.0,56143.0,22266.0,30054.0,16993.0,22859.0,30595.0,23373.0,16918.0,15813.0,205455.0,105198.0,100257.0,149456.0,76710.0,72746.0,112449.0,57356.0,55093.0,93006.0,47842.0,45164.0,200489.0,99602.0,100887.0,185487.0,90214.0,95273.0,172874.0,81966.0,90908.0,126551.0,55245.0,71306.0
11,District of Columbia,593955.0,,-555555555.0,*****,280675.0,,206.0,,16976.0,,66.0,,13110.0,,612.0,,13123.0,,612.0,,8792.0,,99.0,,10709.0,,752.0,,5907.0,,602.0,,4740.0,,538.0,,16296.0,,887.0,,30496.0,,78.0,,25817.0,,97.0,,21342.0,,773.0,,19826.0,,778.0,,19311.0,,79.0,,17971.0,,114.0,,15711.0,,541.0,,6071.0,,424.0,,7322.0,,485.0,,4134.0,,337.0,,5378.0,,394.0,,6364.0,,377.0,,5065.0,,316.0,,3491.0,,281.0,,2723.0,,275.0,,313280.0,,206.0,,16372.0,,84.0,,13171.0,,548.0,,12751.0,,548.0,,8728.0,,55.0,,14045.0,,739.0,,6124.0,,618.0,,5764.0,,755.0,,19771.0,,845.0,,35440.0,,56.0,,27620.0,,60.0,,22374.0,,770.0,,17963.0,,769.0,,19038.0,,34.0,,19033.0,,2.0,,18177.0,,562.0,,7112.0,,405.0,,9063.0,,521.0,,5150.0,,433.0,,6418.0,,386.0,,8642.0,,354.0,,6912.0,,410.0,,6158.0,,468.0,,7454.0,,457.0,,11,33348.0,26281.0,25874.0,17520.0,24754.0,12031.0,10504.0,36067.0,65936.0,53437.0,43716.0,37789.0,38349.0,37004.0,33888.0,13183.0,16385.0,9284.0,11796.0,15006.0,11977.0,9649.0,10177.0,103023.0,52001.0,51022.0,69675.0,35025.0,34650.0,59629.0,30086.0,29543.0,43394.0,21915.0,21479.0,202729.0,93965.0,108764.0,119854.0,60479.0,59375.0,100460.0,47075.0,53385.0,67889.0,27155.0,40734.0
12,Florida,18688787.0,,-555555555.0,*****,9138819.0,,1398.0,,551831.0,,735.0,,544970.0,,5284.0,,580743.0,,5260.0,,371924.0,,739.0,,260730.0,,1129.0,,141222.0,,3149.0,,132241.0,,2826.0,,355799.0,,3718.0,,591614.0,,1002.0,,551252.0,,1101.0,,589002.0,,4535.0,,641707.0,,4520.0,,685631.0,,997.0,,635370.0,,767.0,,559488.0,,3901.0,,218008.0,,3711.0,,303653.0,,3836.0,,184803.0,,2368.0,,251732.0,,3211.0,,347071.0,,3024.0,,279672.0,,3117.0,,204016.0,,2611.0,,156340.0,,2507.0,,9549968.0,,1398.0,,527356.0,,653.0,,531677.0,,3664.0,,546084.0,,3822.0,,351248.0,,693.0,,244473.0,,996.0,,130421.0,,3045.0,,126209.0,,3165.0,,342643.0,,3288.0,,582100.0,,848.0,,550073.0,,764.0,,593875.0,,5179.0,,650174.0,,5133.0,,702958.0,,769.0,,678208.0,,630.0,,626222.0,,4246.0,,247303.0,,3664.0,,336125.0,,3506.0,,207662.0,,2746.0,,284929.0,,3321.0,,405833.0,,3132.0,,335101.0,,3100.0,,276586.0,,3397.0,,272708.0,,3051.0,,12,1079187.0,1076647.0,1126827.0,723172.0,505203.0,271643.0,258450.0,698442.0,1173714.0,1101325.0,1182877.0,1291881.0,1388589.0,1313578.0,1185710.0,465311.0,639778.0,392465.0,536661.0,752904.0,614773.0,480602.0,429048.0,4005833.0,2049468.0,1956365.0,2926646.0,1497637.0,1429009.0,2155834.0,1096801.0,1059033.0,1849999.0,952667.0,897332.0,4008777.0,2032858.0,1975919.0,3863347.0,1916340.0,1947007.0,3604377.0,1716519.0,1887858.0,3206453.0,1423634.0,1782819.0
